BPL,ID HK,NQR,P/W,LN,Lernort,ID LK,Beschreibung LK,ID LFE,Handlungsnotwendiges Wissen,Abfolge,Lektionen,ID LZ,Beschreibung LZ,Taxonomie LZ,Semester,Note zu HKB
ET,9999 d.01,NQR 4,P,LN 2,BFS,xx d1 51,Sie hinterfragen die Projektplanung laufend während eines Projektes und reagieren entsprechend auf Abweichungen.,LFB_Pp_ePr,Projektplanungsinstrumente,0,2,LZ_9021,Sie übernehmen spezifische Rollen im Projektteam und koordinieren die Aufgaben.,K3,2. Sem.,1
ET,9999 d.02,NQR 3,P,LN 2,BFS,xx d2 08,Sie setzen Methoden zur Projektkontrolle ein.,LFB_Pp_ePr,Projektplanungsinstrumente,0,2,LZ_9385,Sie überwachen den Fortschritt und analysieren relevante Projektdaten.,K4,2. Sem.,1
ET,9999 d.02,NQR 3,P,LN 2,BFS,xx d2 13,Sie dokumentieren Projektabweichungen mit den entsprechenden (digitalen) Tools.,LFB_Pp_ePr,Projektplanungsinstrumente,0,2,LZ_9006_1,Sie stellen das fertige Produkt vor und reflektieren die gemachten Erfahrungen.,K3,2. Sem.,1
ET,9999 d.03,NQR 3,P,LN 3,BFS,xx d3 12,Sie setzen (geeignete) Auswertungsmethoden zur Bewertung des Projekterfolgs ein.,LFB_Pp_ePr,Projektplanungsinstrumente,0,2,LZ_9006_1,Sie stellen das fertige Produkt vor und reflektieren die gemachten Erfahrungen.,K3,2. Sem.,1
ET,9999 d.03,NQR 3,P,LN 3,BFS,xx d3 15,Sie analysieren und bewerten Projektdaten und -dokumente.,LFB_Pp_ePr,Projektplanungsinstrumente,0,2,LZ_9006_1,Sie stellen das fertige Produkt vor und reflektieren die gemachten Erfahrungen.,K3,2. Sem.,1
ET,9999 d.03,NQR 3,P,LN 2,BFS,xx d3 16,Sie stellen Resultate in geeigneter und ansprechender Form dar.,LFB_Pp_ePr,Präsentations- und Darstellungsmethoden,0,2,LZ_47,"Sie bereiten Präsentationen vor, führen sie mit Präsentationshilfsmittel durch und werten sie aus.",K3,2. Sem.,1
ET,9999 c.01,NQR 4,P,LN 3,BFS,ET c1 11,Sie wenden die Grundkonzepte einer Programmiersprache an.,LFB_Pr_BS,"Embedded Betriebssystem Grundfunktionen, Realtime, nutzen eines Frameworks für Tasks, Aufgaben aufteilen, Timing, Prioritäten",1,40,LZ_11185,Sie nennen den Nutzen eines Betriebssystems auf einem Mikrocontroller.,K1,7. Sem.,1
ET,9999 c.01,NQR 4,P,LN 3,BFS,ET c1 11,Sie wenden die Grundkonzepte einer Programmiersprache an.,LFB_Pr_BS,,,,LZ_11186,Sie nennen verschiedene Konzepte von Betriebssystemen.,K1,7. Sem.,1
ET,9999 c.01,NQR 4,P,LN 3,BFS,ET c1 11,Sie wenden die Grundkonzepte einer Programmiersprache an.,LFB_Pr_BS,,,,LZ_11187,Sie realisieren kleine Programme mit einem Betriebssystem.,K3,7. Sem.,1
ET,9999 c.01,NQR 4,P,LN 3,BFS,ET c1 14,Sie lösen mit verschiedenen Software-Architektur Ideen wie EVA-Prinzip oder Zustandsautomaten Problemstellungen.,LFB_Pr_BS,"Nutzen von Task, parallele, asynchrone Abarbeitung von Funktionen",2,28,LZ_11188,Sie stellen die Umsetzung einer Aufgabe mit klassischem Code und der Lösung mit einem Betriebssystem gegenüber.,K3,7. Sem.,1
