BPL,ID HK,NQR,P/W,LN,Lernort,ID LK,Beschreibung LK,ID LFE,Handlungsnotwendiges Wissen,Abfolge,Lektionen,ID LZ,Beschreibung LZ,Taxonomie LZ,Semester,Note zu HKB
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,"Analog-Digital, Binärsystem, Spannung, Strom, logische Operationen, Wertetabelle",1,25,LZ_4242,Sie zeichnen Wertetabellen mit Eingangs- und Ausgangsvariablen auf.,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_130,"Sie beschreiben die Grundverknüpfungen UND, ODER, NICHT, NAND, NOR und erkennen deren Symbole.",K2,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_2224,Sie entwickeln kombinatorische Schaltungen.,K5,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_2225,Sie wenden die grundlegenden Gesetze der Schaltalgebra an.,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_2226,Sie entwerfen und zeichnen logische Signalverknüpfungen.,K5,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_4255,Sie erläutern die digitalen Pegel der Schaltkreisfamilien.,K2,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_4256,Sie geben die wichtigsten Eigenschaften der aktuellen Schaltkreisfamilien wieder.,K1,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_2229,Sie wenden arithmetische und logische Operationen am Byte sowie Halb- und Volladdierer an.,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_4258,"Sie beschreiben Binär-, BCD-, Gray-Code, Unicode und ASCII-Code.",K2,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_27,"Sie stellen den Zusammenhang zwischen einer Funktionsgleichung, einer Wertetabelle und dem Graphen einer Funktion her.",K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_29,"Sie unterscheiden logische Grundfunktionen anhand des Symbols, der Wertetabelle, der Funktionsgleichung und des Zeitdiagrammes.",K4,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_2223,"Sie nennen Beispiele von integrierten Schaltungen wie AND, OR, NOT.",K1,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 08,Sie simulieren elektronische Schaltungen.,LFB_El_DT1,Grundkenntnisse Simulationstool,2,5,LZ_2230,Sie simulieren Grundschaltungen im digitalen Bereich.,K4,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 08,Sie simulieren elektronische Schaltungen.,LFB_El_DT1,,,,LZ_2227,Sie analysieren und entwickeln einfache Logikschaltungen.,K4,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT2,"Digitale Grundfunktionen; FlipFlop als: 1Bit Speicher, Baustein für Zähler, Schieberegister",1,15,LZ_9041,Sie erklären die Grundfunktion einer einfachen Speicherschaltung mit Flipflops.,K2,2. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT2,,,,LZ_9042,Sie erklären die Funktion und unterscheiden taktzustands- und taktflankengesteuerter Flipflops.,K2,2. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT2,,,,LZ_9043,Sie setzen unterschiedliche Speicherschaltungen in einer digitalen Schaltung ein.,K3,2. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT2,,,,LZ_9044,Sie setzen zeitabhängige Monoflops/ Verzögerungsglieder in Schaltungen ein.,K3,2. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT2,,,,LZ_9045,Sie unterscheiden unterschiedliche Arten von Zählerbausteinen und setzen diese in digitalen Schaltungen ein.,K3,2. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 08,Sie simulieren elektronische Schaltungen.,LFB_El_DT2,Grundkenntnisse Simulationstool,2,5,LZ_9039,Sie simulieren Schaltungen mit Flipflops.,K3,2. Sem.,1
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 03,Sie wenden bei der Bearbeitung technischer Problemstellungen mathematische Konzepte an.,LFB_El_Dim1,"Herangehensweise an eine mathematische Problemstellung, Umstellen von Formeln, Umgang mit Einheiten",1,2,LZ_6957,Sie berechnen einfache Parallelschaltungen (maximal zwei Widerstände).,K3,1. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 03,Sie wenden bei der Bearbeitung technischer Problemstellungen mathematische Konzepte an.,LFB_El_Dim1,,,,LZ_1923,Sie vereinfachen schrittweise Netzwerke aus drei Widerständen und führen Berechnungen für gemischte Schaltungen durch.,K4,1. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 03,Sie wenden bei der Bearbeitung technischer Problemstellungen mathematische Konzepte an.,LFB_El_Dim1,,,,LZ_44,Sie setzen Zahlen mit den entsprechenden Einheiten in vorgegebene Formeln ein und berechnen diese.,K3,1. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 03,Sie wenden bei der Bearbeitung technischer Problemstellungen mathematische Konzepte an.,LFB_El_Dim1,,,,LZ_3115,Sie führen Berechnungen von SI-Einheiten und den gebräuchlichen Massvorsätzen aus.,K3,1. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 01,"Sie planen ihre Arbeit unter Einbezug der Werkstoff-, Fertigungs- und Maschinentechnik und führen sie aus.",LFB_El_Dim1,"Physikalische Eigenschaften von Widerstandswerkstoffen, Verhalten bei Temperaturänderungen",2,1,LZ_3611,"Sie kennen Werkstoffe für elektrische Widerstände (darunter Draht-, Kohleschicht-, Metallschicht- und Metalloxydwiderstand) in Bezug auf spezifischem Widerstand, Temperaturkoeffizient und Langzeitstabilität.",K1,1. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 01,"Sie planen ihre Arbeit unter Einbezug der Werkstoff-, Fertigungs- und Maschinentechnik und führen sie aus.",LFB_El_Dim1,,,,LZ_1918,Sie berechnen die Änderung des Widerstands als Resultat der Temperaturveränderung.,K3,1. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 02,Sie planen ihre Arbeit unter Einbezug naturwissenschaftlicher Aspekte und führen sie aus.,LFB_El_Dim1,Umgang mit Mess-/Prüfprotokollen,3,1,LZ_7857,Sie füllen die vorgegebenen Prüfprotokolle aus.,K3,1. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 02,Sie planen ihre Arbeit unter Einbezug naturwissenschaftlicher Aspekte und führen sie aus.,LFB_El_Dim1,,,,LZ_7995,Sie handhaben vorgegebene Prüfdokumente und dokumentieren die Prüfergebnisse im Prüfprotokoll.,K3,1. Sem.,0
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim1,"Ohm'sches Gesetz, Knotenregel, Maschensatz, Quellen, Ersatzschaltungen",4,8,LZ_1899,Sie unterscheiden und berechnen die Schaltungen von Spannungsteilern und Vorwiderständen.,K4,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim1,,,,LZ_1923,Sie vereinfachen schrittweise Netzwerke aus drei Widerständen und führen Berechnungen für gemischte Schaltungen durch.,K4,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim1,,,,LZ_3826,Sie berechnen den Ersatzwiderstand.,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim1,,,,LZ_1891,Sie berechnen die Parallel- und Serienschaltung.,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim1,,,,LZ_1924,Sie berechnen einfache gemischte Schaltungen.,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim1,,,,LZ_1943,Sie berechnen die Spannungsverhältnisse von unbelasteten Brückenschaltungen.,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim1,,,,LZ_1908,Sie berechnen die Klemmenspannung bei Belastung.,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim1,,,,LZ_3850,Sie erklären die Abhängigkeit der Klemmenspannung vom Laststrom.,K2,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim1,,,,LZ_3855,Sie berechnen die Leerlaufspannung und den Kurzschlussstrom aus der Lastkennlinie.,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim1,,,,LZ_3862,Sie berechnen die Umwandlung von Quellen (Strom- und Spannungsquellen).,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim1,,,,LZ_5580,"Sie unterscheiden die Betriebsbedingungen Leerlauf, Belastung und Kurzschluss an der Lastkennlinie.",K4,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim1,"Ohm'sches Gesetz, Knotenregel, Maschensatz, Verlustleistung, Toleranzen, Normreihen",5,5,LZ_1905,Sie berechnen den Widerstand und den Leitwert.,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim1,,,,LZ_4147,Sie unterscheiden Spannungs- und Stromquellen hinsichtlich ihres Innenwiderstands und ihres Verhaltens unter Last.,K4,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim1,,,,LZ_1915,Sie erklären und berechnen bei Erzeugern die Abhängigkeit der Klemmenspannung vom Laststrom.,K2,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim1,,,,LZ_3844,Sie berechnen die Brückenschaltung.,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 08,Sie simulieren elektronische Schaltungen.,LFB_El_Dim1,Handhabung einer Simulationssoftware,6,4,LZ_1949,"Sie zeichnen gemischte Schaltungen auf, erklären, berechnen und messen sie aus.",K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 08,Sie simulieren elektronische Schaltungen.,LFB_El_Dim1,,,,LZ_1952,"Sie zeichnen, berechnen und vermessen Serien- und Parallelschaltungen.",K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 08,Sie simulieren elektronische Schaltungen.,LFB_El_Dim1,,,,LZ_9030,Sie messen Schaltungen in einem Simulationstool aus.,K3,1. Sem.,1
ET,9999 b.04,NQR 4,P,LN 4,BFS,ET b4 09,Sie schätzen den Einfluss von Messgeräten auf Beispielschaltungen ab.,LFB_El_Dim1,"Umgang mit Labormessgeräten, Aufbau eines Messgeräts",7,5,LZ_1993,Sie erklären den Einfluss des Innenwiderstandes.,K2,1. Sem.,1
ET,9999 b.04,NQR 4,P,LN 4,BFS,ET b4 09,Sie schätzen den Einfluss von Messgeräten auf Beispielschaltungen ab.,LFB_El_Dim1,,,,LZ_124,"Sie wenden Messgeräte zur Messung von Spannung, Strom und Widerstand an.",K3,1. Sem.,1
ET,9999 b.04,NQR 4,P,LN 4,BFS,ET b4 09,Sie schätzen den Einfluss von Messgeräten auf Beispielschaltungen ab.,LFB_El_Dim1,,,,LZ_1948,Sie führen Strom- und Spannungsmessungen in Stromkreisen durch.,K3,1. Sem.,1
ET,9999 b.04,NQR 4,P,LN 4,BFS,ET b4 09,Sie schätzen den Einfluss von Messgeräten auf Beispielschaltungen ab.,LFB_El_Dim1,,,,LZ_1951,Sie erläutern die Eigenschaften von digitalen und analogen Messgeräten.,K2,1. Sem.,1
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 03,Sie wenden bei der Bearbeitung technischer Problemstellungen mathematische Konzepte an.,LFB_El_Dim2,"Herangehensweise an eine mathematische Problemstellung, Umstellen von Formeln, Umgang mit Einheiten",1,2,LZ_44,Sie setzen Zahlen mit den entsprechenden Einheiten in vorgegebene Formeln ein und berechnen diese.,K3,3. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 03,Sie wenden bei der Bearbeitung technischer Problemstellungen mathematische Konzepte an.,LFB_El_Dim2,,,,LZ_3115,Sie führen Berechnungen von SI-Einheiten und den gebräuchlichen Massvorsätzen aus.,K3,3. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 01,"Sie planen ihre Arbeit unter Einbezug der Werkstoff-, Fertigungs- und Maschinentechnik und führen sie aus.",LFB_El_Dim2,"Physikalische Eigenschaften von el. Werkstoffen, Verhalten bei Temperaturänderungen",2,1,LZ_3967,"Sie beschreiben den Aufbau, die Eigenschaften und die Anwendungsbereiche der wichtigsten Kondensatortypen.",K2,3. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 02,Sie planen ihre Arbeit unter Einbezug naturwissenschaftlicher Aspekte und führen sie aus.,LFB_El_Dim2,Umgang mit Mess-/Prüfprotokollen,3,2,LZ_7857,Sie füllen die vorgegebenen Prüfprotokolle aus.,K3,3. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 02,Sie planen ihre Arbeit unter Einbezug naturwissenschaftlicher Aspekte und führen sie aus.,LFB_El_Dim2,,,,LZ_7995,Sie handhaben vorgegebene Prüfdokumente und dokumentieren die Prüfergebnisse im Prüfprotokoll.,K3,3. Sem.,0
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim2,"Ohm'sches Gesetz, Grundlagen zu Kapazitäten und Induktivitäten",4,14,LZ_1891,Sie berechnen die Parallel- und Serienschaltung.,K3,3. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim2,,,,LZ_1924,Sie berechnen einfache gemischte Schaltungen.,K3,3. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim2,,,,LZ_2052,"Sie beschreiben die Anwendungen des Kondensators, einschliesslich der Zeitverzögerung, Energiespeicherung, Überspannungsschutz, Störschutz und Kompensation.",K2,3. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim2,,,,LZ_9027,"Sie beschreiben die Anwendungen der Spule, einschliesslich der Induktionsspannung, Energiespeicherung, Filterung, Entstörung und Blindleistungskompensation.",K2,3. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim2,"Ohm'sches Gesetz, Grundlagen zu Kapazitäten und Induktivitäten",5,13,LZ_3977,Sie berechnen Serie- und Parallelschaltungen von Kondensatoren.,K3,3. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim2,,,,LZ_2639,Sie unterscheiden den Aufbau und die Kennzeichnung von polarisierten und unpolarisierten Kondensatoren und nennen deren Anwendungen.,K4,3. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim2,,,,LZ_3966,"Sie beschreiben den Zusammenhang zwischen Ladung, Kapazität, Energie, Spannung, Strom und Zeit und führen Berechnungen durch.",K2,3. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim2,,,,LZ_9025,Sie berechnen Serie- und Parallelschaltungen von Spulen.,K3,3. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim2,,,,LZ_9026,"Sie erläutern den Zusammenhang zwischen Induktivität, Strom, Energie, Spannung, Magnetfeld und Zeit und wenden dieses Wissen zur Durchführung von Berechnungen an.",K3,3. Sem.,1
ET,9999 b.04,NQR 4,P,LN 3,BFS,ET b4 08,Sie stellen die Signalverläufe von klassischen Grundschaltungen grafisch dar.,LFB_El_Dim2,Umgang mit Tabellenkalkulationsprogrammen,6,4,LZ_1990,Sie berechnen Lade- und Entladekapazitäten.,K3,3. Sem.,1
ET,9999 b.04,NQR 4,P,LN 3,BFS,ET b4 08,Sie stellen die Signalverläufe von klassischen Grundschaltungen grafisch dar.,LFB_El_Dim2,,,,LZ_3982,Sie zeichnen das zeitliche Verhalten von Spannungen und Strömen in RC-Schaltungen auf und berechnen die Grössen (e-Funktion).,K3,3. Sem.,1
ET,9999 b.04,NQR 4,P,LN 3,BFS,ET b4 08,Sie stellen die Signalverläufe von klassischen Grundschaltungen grafisch dar.,LFB_El_Dim2,,,,LZ_3988,Sie zeichnen und berechnen die Lade- und Entladefunktion des Kondensators bei konstantem Strom.,K3,3. Sem.,1
ET,9999 b.04,NQR 4,P,LN 3,BFS,ET b4 08,Sie stellen die Signalverläufe von klassischen Grundschaltungen grafisch dar.,LFB_El_Dim2,,,,LZ_3994,Sie zeichnen das Impulsverhalten von RC-Schaltungen auf.,K3,3. Sem.,1
ET,9999 b.04,NQR 4,P,LN 3,BFS,ET b4 08,Sie stellen die Signalverläufe von klassischen Grundschaltungen grafisch dar.,LFB_El_Dim2,,,,LZ_2057,Sie beschreiben den Prozess der Induktion und Selbstinduktion.,K2,3. Sem.,1
ET,9999 b.04,NQR 4,P,LN 3,BFS,ET b4 08,Sie stellen die Signalverläufe von klassischen Grundschaltungen grafisch dar.,LFB_El_Dim2,,,,LZ_9024,Sie zeichnen das Impulsverhalten von RL-Schaltungen auf.,K3,3. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 08,Sie simulieren elektronische Schaltungen.,LFB_El_Dim2,Handhabung einer Simulationssoftware,7,4,LZ_1949,"Sie zeichnen gemischte Schaltungen auf, erklären, berechnen und messen sie aus.",K3,3. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim3,"Ohm'sches Gesetz, Grundlagen zu Kapazitäten und Induktivitäten, Verhalten bei Wechselstrom",1,10,LZ_1891,Sie berechnen die Parallel- und Serienschaltung.,K3,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim3,,,,LZ_1924,Sie berechnen einfache gemischte Schaltungen.,K3,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim3,,,,LZ_4029,Sie berechnen die Güte und den Verlustfaktor von L und C und zeichnen die entsprechenden Ersatzschaltungen.,K3,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim3,,,,LZ_1896,Sie berechnen die Strom- und Spannungsverhältnisse im Serie- und Parallelschwingkreis.,K3,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim3,,,,LZ_4143,Sie beschreiben den Aufbau und die Funktionsweise eines Quarzes.,K2,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim3,,,,LZ_1854,Sie nennen die Erzeugung von Spannung durch Induktion bei Generatoren und Transformatoren.,K2,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim3,"Ohm'sches Gesetz, Grundlagen zu Kapazitäten und Induktivitäten, Verhalten bei Wechselstrom",2,10,LZ_1896,Sie berechnen die Strom- und Spannungsverhältnisse im Serie- und Parallelschwingkreis.,K3,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim3,,,,LZ_3977,Sie berechnen Serie- und Parallelschaltungen von Kondensatoren.,K3,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim3,,,,LZ_4005,Sie definieren und berechnen den Blindwiderstand von L und C.,K3,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim3,,,,LZ_4029,Sie berechnen die Güte und den Verlustfaktor von L und C und zeichnen die entsprechenden Ersatzschaltungen.,K3,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim3,,,,LZ_2051,Sie ordnen Kondensatoren für Gleich- und Wechselstrom zu.,K4,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim3,,,,LZ_4141,Sie beschreiben den Einfluss des Quarzes auf die Stabilität des Schwingkreises.,K2,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 06,Sie dimensionieren elektronische Komponenten.,LFB_El_Dim3,,,,LZ_9025,Sie berechnen Serie- und Parallelschaltungen von Spulen.,K3,4. Sem.,1
ET,9999 b.04,NQR 4,P,LN 3,BFS,ET b4 08,Sie stellen die Signalverläufe von klassischen Grundschaltungen grafisch dar.,LFB_El_Dim3,"Umgang mit Tabellenkalkulationsprogrammen, Logarithmische Darstellung",3,5,LZ_2146,"Sie berechnen und erklären Wirk-, Blind- und Scheinleistung sowie den cosj.",K3,4. Sem.,1
ET,9999 b.04,NQR 4,P,LN 3,BFS,ET b4 08,Sie stellen die Signalverläufe von klassischen Grundschaltungen grafisch dar.,LFB_El_Dim3,,,,LZ_4024,Sie berechnen den Amplituden- und Phasengang an passiven Filtern (Hoch- und Tiefpass) und stellen diese im Bodediagramm dar.,K3,4. Sem.,1
ET,9999 b.04,NQR 4,P,LN 3,BFS,ET b4 08,Sie stellen die Signalverläufe von klassischen Grundschaltungen grafisch dar.,LFB_El_Dim3,,,,LZ_4136,Sie ordnen Hoch- und Tiefpassfilter nach ihrer Ordnungszahl ein und zeichnen entsprechende idealisierte Amplitudengänge auf.,K4,4. Sem.,1
ET,9999 b.04,NQR 4,P,LN 3,BFS,ET b4 08,Sie stellen die Signalverläufe von klassischen Grundschaltungen grafisch dar.,LFB_El_Dim3,,,,LZ_4020,"Sie zeichnen das Strom-, Spannungs- und Widerstandsvektordiagramm von RL- und RC-Schaltungen.",K3,4. Sem.,1
ET,9999 b.04,NQR 4,P,LN 3,BFS,ET b4 08,Sie stellen die Signalverläufe von klassischen Grundschaltungen grafisch dar.,LFB_El_Dim3,,,,LZ_4008,Sie beschreiben den Amplitudengang an einem RC-Hochpass und RC-Tiefpass.,K2,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 08,Sie simulieren elektronische Schaltungen.,LFB_El_Dim3,"Handhabung einer Simulationssoftware, Analyse AC und DC Signale",4,5,LZ_1949,"Sie zeichnen gemischte Schaltungen auf, erklären, berechnen und messen sie aus.",K3,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 08,Sie simulieren elektronische Schaltungen.,LFB_El_Dim3,,,,LZ_4146,Sie zeichnen und beschreiben das Ersatzschaltbild des Schwingquarzes.,K3,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 08,Sie simulieren elektronische Schaltungen.,LFB_El_Dim3,,,,LZ_108_1,Sie unterscheiden zwischen den verschiedenen Arten von Strom und Spannung (AC/DC).,K4,4. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 08,Sie simulieren elektronische Schaltungen.,LFB_El_Dim3,,,,LZ_3865,"Sie erklären und berechnen die Periodendauer, die Frequenz, die Amplitude, den Momentanwert, den arithmetischen Mittelwert und den Effektivwert mit Hilfe von Liniendiagrammen.",K2,4. Sem.,1
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 01,"Sie planen ihre Arbeit unter Einbezug der Werkstoff-, Fertigungs- und Maschinentechnik und führen sie aus.",LFB_El_Dim4,"Aufbau der Elemente, Halbleiter, Leiter",1,2,LZ_1879,"Sie unterscheiden Leiter, Nichtleiter und Halbleiter.",K4,2. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 02,Sie planen ihre Arbeit unter Einbezug naturwissenschaftlicher Aspekte und führen sie aus.,LFB_El_Dim4,"Aufbau der Elemente, Halbleiter, Leiter",2,2,LZ_4067,"Sie erklären Begriffe wie Einkristall, Eigenleitung, sowie n- und p-Dotierung von Halbleiterwerkstoffen.",K2,2. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 02,Sie planen ihre Arbeit unter Einbezug naturwissenschaftlicher Aspekte und führen sie aus.,LFB_El_Dim4,,,,LZ_4066,Sie beschreiben die äussere Einwirkung von Wärme und elektrischem Feld auf Halbleitermaterialien.,K2,2. Sem.,0
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_Dim4,"Diode, LED, Optokoppler, Transistoren, FET",3,18,LZ_1894,Sie berechnen Reihenschaltungen mit Widerständen und Dioden.,K3,2. Sem.,1
